id,length,hadamard_order,family,appendix,pdf_page,paper_metadata,a,b,verified_ngp,verified_hadamard_2n
second_paley_ngp_052,52,104,second_paley,C,24,,1 -1 1 -1 -1 -1 -1 -1 1 -1 1 1 1 1 -1 -1 -1 1 1 -1 1 1 1 -1 1 1 -1 1 1 -1 1 1 1 -1 1 1 -1 -1 -1 1 1 1 1 -1 1 -1 -1 -1 -1 -1 1 -1,1 -1 -1 1 1 1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 -1 1 1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 1 1 1 1 -1 1 1 1 1 1 -1 -1 -1 1 1 -1,True,True
second_paley_ngp_054,54,108,second_paley,C,24,,1 -1 1 -1 -1 -1 -1 -1 1 1 -1 -1 1 1 -1 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 -1 -1 -1 -1 1 -1 1 -1 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 1 1 -1 -1 -1 -1 -1 1 -1,1 -1 1 1 1 -1 -1 1 1 1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 -1 1 1 -1 1 -1 -1 1 1 1 1 1 1 1 -1 -1 -1 1 1 -1 -1 -1 1 -1,True,True
second_paley_ngp_064,64,128,second_paley,C,24,,1 -1 -1 -1 1 -1 1 -1 -1 1 -1 -1 -1 1 1 -1 1 1 -1 -1 1 1 1 1 1 1 1 -1 1 1 1 -1 -1 -1 1 1 1 -1 1 1 1 1 1 1 1 -1 -1 1 1 -1 1 1 -1 -1 -1 1 -1 -1 1 -1 1 -1 -1 -1,1 -1 1 1 -1 -1 1 -1 -1 -1 -1 1 1 1 1 1 -1 1 -1 1 1 -1 1 -1 1 1 1 -1 -1 -1 1 -1 1 -1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 -1 1 1 -1 -1 1 -1,True,True
ito_ngp_002,2,4,ito,D,25,x2 - x - 1; p = q = 3,1 1,1 -1,True,True
ito_ngp_004,4,8,ito,D,25,x2 - x + 3; p = q = 7,1 -1 1 -1,1 1 -1 -1,True,True
ito_ngp_006,6,12,ito,D,25,x2 + x + 7; p = q = 11,1 -1 1 1 1 -1,-1 -1 1 -1 1 1,True,True
ito_ngp_010,10,20,ito,D,25,x2 - x + 2; p = q = 19,1 -1 1 -1 1 1 1 -1 1 -1,1 1 1 -1 -1 1 1 -1 -1 -1,True,True
ito_ngp_012,12,24,ito,D,25,x2 - x + 7; p = q = 23,1 1 1 -1 1 1 1 1 1 -1 1 1,1 -1 1 -1 -1 -1 1 1 1 -1 1 -1,True,True
ito_ngp_014,14,28,ito,D,25,"x6 - x5 + 2; p = 3, q = 27",1 1 1 -1 -1 1 -1 1 -1 1 -1 -1 1 1,-1 1 -1 -1 -1 -1 -1 1 1 1 1 1 -1 1,True,True
ito_ngp_016,16,32,ito,D,25,x2 - x + 12; p = q = 31,1 -1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 1 1 -1,1 1 1 -1 -1 1 -1 1 -1 1 -1 1 1 -1 -1 -1,True,True
ito_ngp_022,22,44,ito,D,25,x2 + x + 3; p = q = 43,1 1 -1 1 1 1 -1 -1 1 1 1 1 1 1 1 -1 -1 1 1 1 -1 1,-1 1 -1 -1 1 1 1 1 -1 1 -1 1 -1 1 -1 -1 -1 -1 1 1 -1 1,True,True
ito_ngp_024,24,48,ito,D,25,x2 + x + 13; p = q = 47,1 -1 -1 1 1 1 1 -1 1 1 -1 1 1 1 -1 1 1 -1 1 1 1 1 -1 -1,-1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 1 -1 1 -1 1 -1 -1 1,True,True
ito_ngp_030,30,60,ito,D,25,x2 + x + 2; p = q = 59,1 -1 -1 -1 -1 -1 1 -1 -1 -1 1 -1 1 -1 -1 1 -1 -1 1 -1 1 -1 -1 -1 1 -1 -1 -1 -1 -1,-1 -1 1 1 1 -1 1 -1 -1 1 -1 -1 -1 1 1 -1 -1 1 1 1 -1 1 1 -1 1 -1 -1 -1 1 1,True,True
ito_ngp_034,34,68,ito,D,25,x2 + x + 12; p = q = 67,1 -1 -1 1 -1 -1 -1 -1 -1 -1 1 1 1 -1 1 -1 -1 1 -1 -1 1 -1 1 1 1 -1 -1 -1 -1 -1 -1 1 -1 -1,-1 -1 1 1 -1 -1 -1 1 -1 -1 1 -1 1 -1 -1 -1 1 -1 1 1 1 -1 1 -1 1 1 -1 1 1 1 -1 -1 1 1,True,True
